pricePerUnit;brand;productType;identificationID;dimensions;title;quantityAvailable;mainImage;technicalSheetURL
19.6;Tecsom;Réemploi;GIZ2310001;50x50;City Square 032;151;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/032-logo-N8Jz.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/94e49437-8fc8-4ab1-8848-8b4af08cb726.pdf
16.8;Balsan;Réemploi;GIZ2310005;50x50;Winter 185;119;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/185-logo-SSU6.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/a128e0e4-3cd9-4a0d-8f88-c096796c2344.pdf
19.6;Desso;Réemploi;GIZ2310007;50x50;Flow 9027;65;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/DESSO-CYCLE-UP-GRIS-CLAIR-AVEC-LOGO-KEZ3.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/c2190f37-ac8f-44e6-bb43-ea41f365ad51.pdf
19.6;Interface;Réemploi;GIZ2309001;50x50;New Horizons II 5589 Carbon;115;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/carbon-logo-qumu.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/b9b0d1c3-4ede-4cb8-9cb8-6d78ad382b58.pdf
25.2;Balsan;Réemploi;GIZ2305009;50x50;Stoneage 770;50;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/770-logo-e4An.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/355c15b3-23d6-4a1c-87a0-e77c2aac9fd7.pdf
15.4;Vorwerk;Réemploi;GIZ2307014;50x50;;95;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Vorwerk-logo-A8Q4.png;
25.2;Interface;Réemploi;GIZ2311005;50x50;Composure Transcribe;85;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/transcribe-logo-EJQ7.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/674ceea8-a9ee-439f-828f-35d5d96dc1de.pdf
26.6;Interface;Réemploi;GIZ2311011;25x100;HN810 Limestone;95;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-HN810-LIMESTONE-optimal-karpet-Nt06.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/26c3b249-581a-42d8-9c0c-6d3051b06ead.pdf
26.6;Interface;Réemploi;GIZ2311012;25x100;HN840 Limestone;85;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/HN840-xKw7.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/4e0b5fe1-e44f-487f-b32f-d994a5bfec79.pdf
26.6;Interface;Réemploi;GIZ2311014;25x100;HN850 Limestone;60;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/HN850-logo-kZ6Y.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/50f3aac1-aeb7-487a-9fa7-20b98dbc875a.pdf
12.6;;Réemploi;GIZ2205007;50x50;Rima Rima Bleu;105;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/rima-logo-RscX.png;
8.4;Interface;Réemploi;GIZ2309008;50x50;Interlay;105;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Sans-titre-nm7E.jpeg;
15.4;Interface;Réemploi;GIZ2310004;50x50;KARPET - Transformation 345502 STEPPE;30;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/optimalkarpet/345502-STEPPE-NTLL.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/83e01a80-269b-4c29-a892-eee685d07da7.pdf
15.4;Balsan;Réemploi;GIZ2310006;50x50;Metropolitan Avenue 960;255;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/960-logo-4DNH.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/e0445006-a4e6-412a-a246-8860fec7658d.pdf
23.1;Milliken;Réemploi;GIZ2311001;50x50;Per Contra 2.0 OTC144-6 Union;95;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/OTC144-06-RJmw.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/7ad949d9-0e81-42bf-92f8-fc63992d792c.pdf
23.1;Milliken;Réemploi;GIZ2311002;50x50;Per Contra 2.0 OTC6-79 Throw;39;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/OTC6-79-logo-dnWQ.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/92741afa-9813-4a5c-8207-409977b3f939.pdf
23.1;Milliken;Réemploi;GIZ2311004;50x50;Nordic Stories Tectonic TTC79-133 Dark Dansk;35;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/TTC79-133m-Dark-Dansk-logo-Zz0H.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/961384ca-159e-4d74-ac01-d0815c09ff60.pdf
25.2;Balsan;Réemploi;GIZ2111004;50x50;Stoneage 910;105;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/BALSAN-STONE-AGE-910-ToFi.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/4d0eb2db-0fcf-4c79-8114-6d918730bed1.pdf
16.8;Interface;Réemploi;GIZ2312002;50x50;Elevation Linen Shade;290;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Logo-DpLG.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/bd9c6561-88fb-41f9-afef-f2f64b178c00.pdf
19.6;Desso;Réemploi;GIZ2312008;50x50;Grids 9013;200;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/9013-logo-j3TS.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2c5bed28-f688-4bd1-a147-e551522ff3b2.pdf
24.5;Desso;Réemploi;GIZ2401005;50x50;Desert 9505;189;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/9505-logo-6hfK.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/f90b8b04-d47f-4a1f-a59c-21497337331c.pdf
21;Balsan;Réemploi;GIZ2205004;50x50;Pilote 980;110;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/balsan-pilote-980-marron-avec-logo--OrUR.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2a90b18d-fbcc-4828-85ce-696188454949.pdf
19.6;Balsan;Réemploi;GIZ2401001;50x50;Boléro 570;66;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/570-logo-GnID.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/d9c68292-347c-4921-9e78-f537b9371d2d.pdf
19.6;Balsan;Réemploi;GIZ2401002;50x50;Boléro 560;140;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/560-logo-D75G.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2740126d-5967-4d2d-b063-34d3cfb13d60.pdf
19.6;Balsan;Réemploi;GIZ2401003;50x50;Boléro 350;145;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/350-logo-Cl2f.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/0424a700-62df-40c2-ad62-7e33a5582639.pdf
22.4;Interface;Réemploi;GIZ2311007;25x100;WW890 8113004 Black Dobby;55;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Black-Dobby-my7V.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/6777c378-6899-49c3-8db2-cd278e935083.pdf
22.4;Interface;Réemploi;GIZ2311008;25x100;WW890 8113006 Natural Dobby;65;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Natural-Dobby-ToqP.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/3d4a58c7-cd7a-477b-bf7e-1847af6d7d91.pdf
19.6;Tecsom;Réemploi;GIZ2311013;50x50;Linear Spirit Bicolore Mid-Grey 00031;50;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/00031-bZMQ.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/998e39c1-900d-4794-9d8b-2117e6d62cf1.pdf
22.4;Desso;Réemploi;GIZ2312001;50x50;Wave B754 2924;45;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/2924-op-iofJ.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/b8f6b794-9469-4ac6-b4f5-bca0d0664bea.pdf
30.8;Milliken;Réemploi;GIZ2312009;;Polished Concrete POL144;55;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/POL144m-K7yW.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/1d5fa00d-9243-4744-b402-5c7d9d6b3e10.pdf
24.5;Desso;Produit à venir;2312005-01_attente nettoyage;50x50;Essence 8904 Sound Master;80;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/THP-Essence-8904-5MYs.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/55f5aa44-f836-4326-8015-69042dbec6bd.pdf
21;Desso;Réemploi;GIZ2312006;50x50;Essence Stripe 9514 Sound Master;35;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/9514-logo-8glC.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/03796e7d-2381-44e3-b3fd-c1939abf8027.pdf
18.9;Modulyss;Réemploi;GIZ2301009;50x50;Millennium Nxtgen 061 ComfortBack;75;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/061-logo-MGbm.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/48fe79c5-4b1c-46f4-9fb3-f4f8770cfb5f.pdf
16.8;Interface;Réemploi;GIZ2111005;50x50;Polichrome Solid Daphne;35;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-polichrome-daphne-logo-ILZH.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/0954e8f9-c705-41c8-9424-2f2e1c65b30c.pdf
16.8;Desso;Réemploi;GIZ2204005;50x50;Halo 9091;165;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/desso-halo-9091-optimal-karpet-LGZ2.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/8e2aa23a-c64e-4a8e-9275-cfd37ab4c6a6.pdf
25.2;Balsan;Réemploi;GIZ2206006;50x50;Stoneage 710;100;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/BALSAN-STONE-AGE-MARRON-710-LOGO-IgY5.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/8808e75f-b7ff-45e3-9c57-0dbd3eb216a1.pdf
25.2;Shaw contract;Réemploi;GIZ2301002;25x100;5T253 53597 Gunmetal;44;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/53597-Gunmetal-carre-1j7L.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/c3d9de59-3bac-4a8d-a84c-d725cd5a92e4.pdf
25.2;Interface;Réemploi;GIZ2210002;50x50;Composure Abyss;155;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/COMPOSURE-ABYSS-LOGO--GKu5.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2789a6d1-7dbd-4d71-afc3-8781749c9523.pdf
25.2;Balsan;Réemploi;240109-01;50x50;Désert 910;110;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/910-logo-KGpN.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/ada44af8-09ed-4ff1-bcb3-0bcc2eb8143b.pdf
18.2;Desso;Réemploi;240201-01;50x50;Natural Nuances AA15 9530;75;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/1-Qwal.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/4f0e9f2f-6d2d-4e4b-bc36-ede986765b7d.pdf
18.2;Desso;Réemploi;240201-02;50x50;Natural Nuances AA15 9430;35;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Desso-Natural-nuances-AA15-9430-UdGi.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/735e6cf0-0101-41fa-9172-ecd8e9086221.pdf
19.6;Forbo;Réemploi;240213-01;50x50;Tessera 4376 Mercury;210;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/235770-4376-fNCW.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/57fc7349-475d-4c51-bc6b-1686ab749301.pdf
16.8;Tecsom;Réemploi;240202-01;50x50;GALERIE 028 Electric Blue;60;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/blue1-e74X.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/028 Bleu électrique-lGCi.pdf
15.4;Interface;Réemploi;240204-01;50x50;Transformation 118626;155;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/118626-logo-Q0Ny.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/118626-AYUZ.pdf
19.6;Desso;Réemploi;240208-01;25x100;Lame beige;210;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Lame-Desso11-CCid.png;
19.6;Desso;Réemploi;240304-02;50x50;Grids 8521;110;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Grids8521-r3aO.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Grids 8521-jUGt.pdf
19.6;Desso;Réemploi;240304-03;50x50;Grids 7005;25;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/grids-7005-rXFx.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Grids 7005-MsLn.pdf
16.8;Modulyss;Réemploi;240305-01;50x50;DSGN Absolut 965;114;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/965-GYUj.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/965-HXHu.pdf
16.8;Interface;Réemploi;240211-06;50x50;Heuga 727 4122132 OYSTER;95;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/4122132-OYSTER-EsAf.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/4122132 OYSTER-6STq.pdf
19.6;Balsan;Réemploi;240211-01;50x50;Winter 640;120;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/640-AI0Y.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/640-BeAQ.pdf
12.6;;Réemploi;GIZ2306006;50x50;Rouge Velours;60;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/2306006-lipstick-1-0loj.jpg;
14;Interface;Réemploi;GIZ2401007;50x50;Lima 338311 El Agustino;135;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/El-agustino-lqE8.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/338311_LIMA - El Agustino-SfDP.pdf
19.6;Balsan;Réemploi;240211-02;50x50;Pilote 917;100;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/pilote-917-Mqn8.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/917-R5EH.pdf
18.2;Tecsom;Réemploi;240207-01-bloqué Nicolas 03/12;50x50;Linear Spirit 045;30;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/LS-Ligne-045-saZv.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/045-3EwP.pdf
12.6;Interface;Réemploi;240310-01;50x50;Genesis;55;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-genesis-YkR7.png;
18.2;Interface;Réemploi;240401-01;50x50;New Horizon II Silver 4117008;45;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-new-horizons-ii-Silver-4117008-CRlA.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/SILVER 4117008-5YUV.pdf
25.2;Tarkett;Réemploi;240505-01;;iD Inspiration 30 - Brushed Elm NATURAL;149;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/iD-Inspiration-30---Brushed-Elm-NATURAL-OlMn.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/DS_FR_iD_Inspiration_30_55_70-cAKF.pdf
19.6;Forbo;Réemploi;240314-01;50x50;Tessera Chroma 3601 Platinum;190;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/forbo-tessera-platinum-3601-02-EF55.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/3601 PLATINUM-p4mr.pdf
16.8;Tecsom;Réemploi;240801-01;50x50;Camera 038;864;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/2-2-Xa4D.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/tecsom_camera_038-puPm.pdf
19.6;Balsan;Réemploi;240708-01;50x50;Pilote² 605;60;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Pilote-005-1RiM.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/605-mfF9.pdf
19.6;Shaw contract;Réemploi;250307-02;50x50;Ember 5T226 26506 Pebble;226;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/26506-Pebble-KjOa.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/26506 Pebble -27AH.pdf
19.6;Shaw contract;Réemploi;241109-03;50x50;Ember 5T226 26516-Porcelain;55;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/26516-Porcelain-B25p.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/26516 Porcelain-LEII.pdf
19.6;Shaw contract;Réemploi;241105-02;50x50;Ember 5T226 26755-Straw;642;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/26755-Straw-orak-1-k9cz.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/26755 Straw-LXHx.pdf
19.6;Shaw contract;Réemploi;250201-04;50x50;Ember 5T226 26760-Stonegate;552;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/26760-Stonegate-SDqD.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/26760 Stonegate-WdYC.pdf
19.6;Shaw contract;Réemploi;250307-01;50x50;Ember 5T226 26761-Heather;730;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/26761-Heather-wzTC.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/26761 Heather-S09f.pdf
19.6;Shaw contract;Réemploi;250201-02;50x50;Ember 5T226 26485 Regent Blue;489;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/26485-regent-blue-zAPU.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/26485 Regent Blue-InRS.pdf
17.5;Balsan;Réemploi;250302-01;50x50;L480 930;740;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/L480-930-TtxH.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/L480 930_-7cDb.pdf
21;Balsan;Réemploi;250302-02;50x50;Pilote 980;463;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/980-grey-GTMj.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Balsan Pilote 980 Datasheet-eCJj.pdf
19.6;Balsan;Réemploi;241109-07;50x50;Pilote² 910;29;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/pilote2-910-0wWg.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Balsan Pilote 910 Datasheet-Mubz.pdf
14.7;Interface;Réemploi;250203-01;50x50;Monochrome 1458002 Platinum;340;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/MONOCHROME-PLATINUM-de-tail-sM78.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/1458002 Platinum -7rGn.pdf
14.7;Interface;Réemploi;250201-03;50x50;Heuga 727 4122121 ELEPHANT;113;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/4122121-ELEPHANT-1-wVi7.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Interface Heuga 727 4122121 ELEPHANT-6TxG.pdf
28;Milliken;Fin de série;240604-01;50x50;Wireframe WFR157-182L Royal;220;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/WFR157-182L-Royal-8NwY.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/WFR157-182L Royal-vL4i.pdf
21;Ege;Réemploi;240309-02;48x48;Reform memory;100;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Reform-memory-logo-tYHh.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/ReForm Memory-baUz.pdf
19.6;Modulyss;Réemploi;240501-01;50x50;Gleam 847 Produit Neuf;70;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Gleam-847-TiiI.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Gleam 847-2COX.pdf
22.4;Desso;Réemploi;240502-01;50x50;Palatino 6016;60;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/palatino-dapZ.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/6016-07YG.pdf
22.4;Desso;Réemploi;240502-02;50x50;Palatino 6208;39;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/pala-6208-8FNj.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/6208-Du0W.pdf
22.4;Desso;Réemploi;240503-01;50x50;Arcade 9095;61;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Arcade-logo-pBMu.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/9095-QbcR.pdf
18;Milliken;Fin de série;240803-02;50x50;Custom TractionBack Grey;1094;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/240803-02-GRIS-3BHu.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/GREY-oU2n.pdf
14;Milliken;Fin de série;240803-01-surplus;50x50;Custom TractionBack Pale Beige;108;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Pale-Beige-72sd.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/PALE BEIGE-zF4Y.pdf
25.2;Milliken;Fin de série;240803-03-Surplus;50x50;Custom TractionBack Coral;178;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/240803-03-Coral-optS.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Coral-dkbR.pdf
19.6;Balsan;Réemploi;240506-01;50x50;Pilote² 005;75;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Pilote-005-JTR3.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/005-zpwF.pdf
16.8;Interface;Réemploi;240701-08;50x50;Heuga 725 7224 Silver;215;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Heuga-725-7224-Silver-krFB.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/7224 Silver-NAlx.pdf
16.8;Balsan;Réemploi;240701-01;50x50;Landscape Rift 640;64;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/RIFT-640-uSj2.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Rift 640-yUHa.pdf
22.4;Desso;Réemploi;240404-01;50x50;Linon 9508;70;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/balsan-linon-9508-orak-cZI8.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/9508-jVXg.pdf
25.2;Balsan;Réemploi;240707-01;50x50;Stoneage 620;33;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/balsan-stoneage-620-orak-RKPQ.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/Balsan Stoneage 620 bback-eUYZ.pdf
25.2;Milliken;Réemploi;240603-01;50x50;NORDIC STORIES Hidden Plains HDP25-152 Meltwater;65;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Milliken-Hidden-Plains-HDP25-152-Meltwater-J0jk.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/HDP25-152 Meltwater-hk4i.pdf
8;Milliken;Fin de série;241101-01_;50x50;WIREFRAME WFR233-254 Cacao;1240;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/WFR233-254m-4fcW.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/WFR233-254 Cacao-olX4.pdf
18;Milliken;Fin de série;241101-02;50x50;WIREFRAME WWFR57-214 Cognac;266;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/WFR57-214m-ykrx.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/WFR57-214 COGNAC-ACoY.pdf
25.2;Interface;Réemploi;240606-01;50x50;Ice Breaker 4282007 Claystone;70;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Claystone-M3kv.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/2860fa58-cc9a-4ece-b21d-f919523a65ee.pdf
22.4;Interface;Réemploi;240901-01;25x100;UR 501 7267011 ASH;77;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/ur501-ash-va0-y72I.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/7267011 Ash -qCKk.pdf
